"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数组 2:
  参数1: 18791916430
  参数2: Cathy8877
","360","用户web端登录 - 数据组2","test_case_yaml","Sun Mar 01 16:02:01 CST 2026","passed","Sun Mar 01 16:02:02 CST 2026","test_用户web端登录_1772352120.yaml","test_用户web端登录_1772352120","",""
"参数组 1:
  参数1: 18791716437
  参数2: Cathy8877
","830","用户web端登录 - 数据组1","test_case_yaml","Sun Mar 01 16:02:00 CST 2026","passed","Sun Mar 01 16:02:01 CST 2026","test_用户web端登录_1772352120.yaml","test_用户web端登录_1772352120","",""
"参数组 3:
  参数1: 18791716437
  参数2: 123456
","314","用户web端登录 - 数据组3","test_case_yaml","Sun Mar 01 16:02:02 CST 2026","passed","Sun Mar 01 16:02:02 CST 2026","test_用户web端登录_1772352120.yaml","test_用户web端登录_1772352120","",""
