"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数组 1:
  参数1: 18791716437
  参数2: Cathy8877
","445","用户web端登录 - 数据组1","test_case_yaml","Fri Mar 06 16:46:01 CST 2026","passed","Fri Mar 06 16:46:02 CST 2026","test_用户web端登录_1772786761.yaml","test_用户web端登录_1772786761","",""
"参数组 2:
  参数1: 18791916430
  参数2: Cathy8877
","307","用户web端登录 - 数据组2","test_case_yaml","Fri Mar 06 16:46:02 CST 2026","passed","Fri Mar 06 16:46:02 CST 2026","test_用户web端登录_1772786761.yaml","test_用户web端登录_1772786761","",""
"参数组 3:
  参数1: 18791716437
  参数2: 123456
","529","用户web端登录 - 数据组3","test_case_yaml","Fri Mar 06 16:46:02 CST 2026","passed","Fri Mar 06 16:46:02 CST 2026","test_用户web端登录_1772786761.yaml","test_用户web端登录_1772786761","",""
