"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2026","万师傅web端首页订单列表","","Sat Mar 07 16:01:07 CST 2026","passed","Sat Mar 07 16:01:09 CST 2026","test_endpoint_3.yaml","test_endpoint_3","",""
"参数组 3:
  参数1: 18791716437
  参数2: 123456
","1951","用户web端登录 - 数据组3","","Sat Mar 07 16:01:12 CST 2026","passed","Sat Mar 07 16:01:13 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"参数组 2:
  参数1: 18791916430
  参数2: Cathy8877
","1964","用户web端登录 - 数据组2","","Sat Mar 07 16:01:10 CST 2026","passed","Sat Mar 07 16:01:12 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"参数组 1:
  参数1: 18791716437
  参数2: Cathy8877
","2225","用户web端登录 - 数据组1","","Sat Mar 07 16:01:07 CST 2026","passed","Sat Mar 07 16:01:10 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
