"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数组 2:
  参数1: 18791916430
  参数2: Cathy8877
","295","用户web端登录 - 数据组2","tests.test_case_yaml","Tue Nov 18 15:35:42 CST 2025","passed","Tue Nov 18 15:35:43 CST 2025","test_用户web端登录_1763451342.yaml","test_用户web端登录_1763451342","",""
"参数组 3:
  参数1: 18791716437
  参数2: 123456
","194","用户web端登录 - 数据组3","tests.test_case_yaml","Tue Nov 18 15:35:43 CST 2025","passed","Tue Nov 18 15:35:43 CST 2025","test_用户web端登录_1763451342.yaml","test_用户web端登录_1763451342","",""
"参数组 1:
  参数1: 18791716437
  参数2: Cathy8877
","569","用户web端登录 - 数据组1","tests.test_case_yaml","Tue Nov 18 15:35:42 CST 2025","passed","Tue Nov 18 15:35:42 CST 2025","test_用户web端登录_1763451342.yaml","test_用户web端登录_1763451342","",""
