"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数组 3:
  参数1: 18791716437
  参数2: 123456
","566","用户web端登录 - 数据组3","","Sat Mar 07 13:48:57 CST 2026","passed","Sat Mar 07 13:48:57 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"参数组 1:
  参数1: 18791716437
  参数2: Cathy8877
","762","用户web端登录 - 数据组1","","Sat Mar 07 13:48:55 CST 2026","passed","Sat Mar 07 13:48:56 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"","248","万师傅web端首页订单列表","","Sat Mar 07 13:48:55 CST 2026","passed","Sat Mar 07 13:48:56 CST 2026","test_endpoint_3.yaml","test_endpoint_3","",""
"参数组 2:
  参数1: 18791916430
  参数2: Cathy8877
","515","用户web端登录 - 数据组2","","Sat Mar 07 13:48:56 CST 2026","passed","Sat Mar 07 13:48:57 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
