"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数组 1:
  参数1: 18791716437
  参数2: Cathy8877
","1924","用户web端登录 - 数据组1","","Sat Mar 07 15:58:55 CST 2026","passed","Sat Mar 07 15:58:57 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"","1860","万师傅web端首页订单列表","","Sat Mar 07 15:58:55 CST 2026","passed","Sat Mar 07 15:58:57 CST 2026","test_endpoint_3.yaml","test_endpoint_3","",""
"参数组 3:
  参数1: 18791716437
  参数2: 123456
","1983","用户web端登录 - 数据组3","","Sat Mar 07 15:59:01 CST 2026","passed","Sat Mar 07 15:59:03 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"参数组 2:
  参数1: 18791916430
  参数2: Cathy8877
","4023","用户web端登录 - 数据组2","","Sat Mar 07 15:58:57 CST 2026","passed","Sat Mar 07 15:59:01 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
