"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数组 2:
  参数1: 18791916430
  参数2: Cathy8877
","400","用户web端登录 - 数据组2","","Sat Mar 07 15:46:43 CST 2026","passed","Sat Mar 07 15:46:43 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"参数组 3:
  参数1: 18791716437
  参数2: 123456
","325","用户web端登录 - 数据组3","","Sat Mar 07 15:46:43 CST 2026","passed","Sat Mar 07 15:46:44 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"参数组 1:
  参数1: 18791716437
  参数2: Cathy8877
","482","用户web端登录 - 数据组1","","Sat Mar 07 15:46:42 CST 2026","passed","Sat Mar 07 15:46:43 CST 2026","test_endpoint_2.yaml","test_endpoint_2","",""
"","165","万师傅web端首页订单列表","","Sat Mar 07 15:46:42 CST 2026","passed","Sat Mar 07 15:46:42 CST 2026","test_endpoint_3.yaml","test_endpoint_3","",""
